Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,MeanReturn,MedianReturn,MeanMFE,MeanMAE,DirectionalHitRate,StdReturn,BaselineMeanReturn,BaselineDirectionalHitRate,ReturnEdge,DirectionalHitLift,ReturnTStat,ReturnSignificance
6E,5,Directional Continuation / Sponsor Release,CompressionPressure,1,0.21705426356586532,0.21705426356586532,0.7596899224807696,-0.8682170542634613,1.0,,-0.05140164560016971,0.4480977793079704,0.268455909166035,2.231655781790242,0.0,Unsupported
6E,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,-0.2892930090273786,-0.45901639344260625,1.0551503349569362,-1.2671538776165179,0.3219178082191781,1.628144011730932,-0.05140164560016971,0.4480977793079704,-0.23789136342720887,0.7184097379735711,-2.1098650536002697,SignificantNegativeReturn
6E,5,Directional Continuation / Sponsor Release,RotationalPressure,135,-0.1838564118767178,-0.2745098039222379,1.163920911469087,-1.3623667595042663,0.4222222222222222,1.6366286127080334,-0.05140164560016971,0.4480977793079704,-0.1324547662765481,0.9422546634225466,-1.3052554790309228,WeakEvidence
6E,5,Pure Unresolved Compression Equilibrium,CompressionPressure,2538,-0.039578360464055995,-0.0946334779632027,1.2308884668923394,-1.2769060262832674,0.43954312721543914,1.7740742434939083,-0.05140164560016971,0.4480977793079704,0.011823285136113713,0.9809089611964986,-1.1239107306837652,WeakEvidence
6E,5,Pure Unresolved Compression Equilibrium,RotationalPressure,113,-0.21468072007135658,0.0,0.9714039108967144,-1.2646641655567563,0.45132743362831856,1.4591486717518878,-0.05140164560016971,0.4480977793079704,-0.16327907447118686,1.0072074767371888,-1.5639854949129095,WeakEvidence
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,137,-0.1587459863028698,-0.22764227642273546,1.1423879426251948,-1.2769429416180762,0.40875912408759124,1.4939701966209487,-0.05140164560016971,0.4480977793079704,-0.10734434070270008,0.9122096626295879,-1.243715661737348,WeakEvidence
6E,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,29,-0.5969900318257957,-0.5000000000002643,0.8138925652734269,-1.5835585858453514,0.3793103448275862,1.6783275231802446,-0.05140164560016971,0.4480977793079704,-0.545588386225626,0.8464901241273332,-1.9155317810116839,Unsupported
6E,5,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.055809185587060516,0.0,1.3060018131652424,-1.413164729337566,0.4401154401154401,2.3810290341043117,-0.05140164560016971,0.4480977793079704,-0.004407539986890807,0.982186166588779,-0.6156948758354408,NotSignificant
6E,5,Stable Compression Basin,CompressionPressure,1238,-0.02292805445959893,0.0,1.2869570455406842,-1.3045488001690935,0.4827031375703942,2.0644731903028664,-0.05140164560016971,0.4480977793079704,0.028473591140570777,1.0772272478472606,-0.39076735884345365,NotSignificant
6E,5,Stable Compression Basin,RotationalPressure,335,-0.07430964472447833,-0.13725490196047357,1.2475286523577407,-1.2977654348537002,0.42686567164179107,2.082519916533854,-0.05140164560016971,0.4480977793079704,-0.022907999124308624,0.952617244167178,-0.653098106923756,NotSignificant
6E,5,Unstable Rotational Balance,CompressionPressure,23,0.0029846918203813313,0.14141414141445224,1.4115637656045152,-1.591441848508478,0.5217391304347826,2.4652764345651748,-0.05140164560016971,0.4480977793079704,0.05438633742055104,1.1643421470209958,0.005806277510652929,Unsupported
6E,5,Unstable Rotational Balance,RotationalPressure,415,0.0554443450092368,0.0,1.2795526387605158,-1.2401072953475814,0.491566265060241,1.8008976765964124,-0.05140164560016971,0.4480977793079704,0.1068459906094065,1.0970066975547215,0.6271800969166001,NotSignificant
6E,10,Directional Continuation / Sponsor Release,CompressionPressure,1,0.10852713178317364,0.10852713178317364,2.0620155038759616,-1.7364341085269226,1.0,,-0.08901407727029564,0.4462439696760855,0.19754120905346928,2.2409266409266406,0.0,Unsupported
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,-0.34280878205635756,-0.4274809160304546,1.4758561308955007,-1.9313772502020277,0.3767123287671233,2.493161308344962,-0.08901407727029564,0.4462439696760855,-0.2537947047860619,0.844184693499762,-1.6327177607614265,WeakEvidence
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,135,-0.665493277555785,-0.45454545454522643,1.5399625501892713,-2.2366089898005663,0.3851851851851852,2.6012095825747124,-0.08901407727029564,0.4462439696760855,-0.5764792002854894,0.8631717431717432,-2.9725913647089013,SignificantNegativeReturn
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2533,-0.1320067187277806,-0.18918918918958658,1.7746423421904822,-1.8943602829861979,0.43567482241515393,2.5278163298469787,-0.08901407727029564,0.4462439696760855,-0.042992641457484965,0.9763153163311017,-2.6282587309988275,SignificantNegativeReturn
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,113,-0.07203733807442929,0.20740740740738353,1.711104765543109,-1.7973559318259336,0.5398230088495575,2.4100193008362165,-0.08901407727029564,0.4462439696760855,0.016976739195866355,1.209703761916151,-0.3177432676272521,NotSignificant
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,137,-0.16571213703622617,-0.21875000000048572,1.7345336731610939,-1.9109471930958453,0.43795620437956206,2.3467123478334444,-0.08901407727029564,0.4462439696760855,-0.07669805976593053,0.9814277259532734,-0.8265226189156852,NotSignificant
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,29,-1.1109651432946557,-1.2873563218388504,1.447832254227954,-3.051585914209998,0.41379310344827586,3.7636055093428795,-0.08901407727029564,0.4462439696760855,-1.02195106602436,0.9272799893489548,-1.5896273870286945,Unsupported
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.05838025155827841,-0.26168224299060533,1.9100918066264496,-2.068499675446322,0.4458874458874459,3.23974525763561,-0.08901407727029564,0.4462439696760855,0.030633825712017233,0.9992010563439134,-0.47334701700088233,NotSignificant
6E,10,Stable Compression Basin,CompressionPressure,1238,0.09189236655784087,0.0,1.9506068721913392,-1.9193857082396621,0.4762670957361223,2.9938274280147694,-0.08901407727029564,0.4462439696760855,0.18090644382813653,1.0672796230318353,1.0799732431915638,WeakEvidence
6E,10,Stable Compression Basin,RotationalPressure,335,-0.15701232625481337,-0.2592592592586196,1.8113917125389556,-1.9102442902056445,0.43283582089552236,2.7290452072766014,-0.08901407727029564,0.4462439696760855,-0.06799824898451773,0.969953322192128,-1.0530413417213218,WeakEvidence
6E,10,Unstable Rotational Balance,CompressionPressure,23,-1.348527004800047,-0.7118644067790537,1.6628475092579587,-2.585705149600277,0.2608695652173913,3.0086150881328955,-0.08901407727029564,0.4462439696760855,-1.2595129275297514,0.584589558502602,-2.149596452257397,Unsupported
6E,10,Unstable Rotational Balance,RotationalPressure,415,0.07288255437334423,0.0,1.8518710668300573,-1.7508950391573261,0.4650602409638554,2.4535211347151336,-0.08901407727029564,0.4462439696760855,0.16189663164363988,1.0421658836116667,0.6051427441010888,NotSignificant
6E,20,Directional Continuation / Sponsor Release,CompressionPressure,1,-1.9534883720927878,-1.9534883720927878,2.0620155038759616,-2.3875968992245187,0.0,,-0.16407669849289414,0.43890231273731445,-1.7894116735998937,0.0,0.0,Unsupported
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,-0.860913086830275,-1.1666666666665586,2.2067287995085683,-3.1789589317192406,0.4589041095890411,3.8183128498037213,-0.16407669849289414,0.43890231273731445,-0.6968363883373809,1.0455723204714527,-2.6773019661696815,SignificantNegativeReturn
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,135,-0.26039476937127387,-0.3783783783782876,2.475256011057793,-3.095931190406357,0.4,3.4533795746445044,-0.16407669849289414,0.43890231273731445,-0.09631807087837974,0.9113645300825797,-0.8761023079702569,NotSignificant
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,2524,-0.30389952484773447,-0.4468085106382135,2.546920415913884,-2.8957946865971333,0.42534653465346534,3.835727931122634,-0.16407669849289414,0.43890231273731445,-0.13982282635484033,0.9691143616917728,-3.9804016842688443,SignificantNegativeReturn
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,112,-0.7363417202513903,-0.41007092198601547,2.355330275451416,-2.894252855774751,0.39285714285714285,4.036399906428648,-0.16407669849289414,0.43890231273731445,-0.5722650217584961,0.8950901634739622,-1.930608578841627,WeakEvidence
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,137,0.21571910900936492,0.0,2.8858264773422526,-2.683585100228756,0.45985401459854014,4.454299803435184,-0.16407669849289414,0.43890231273731445,0.37979580750225905,1.0477365948029655,0.5668517045070004,NotSignificant
6E,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,29,-0.9830703927857252,-1.0694444444446605,2.491791308482685,-4.274607899927455,0.3793103448275862,5.033776540805799,-0.16407669849289414,0.43890231273731445,-0.8189936942928311,0.8642249854231359,-1.051694694679102,Unsupported
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,690,0.1865036889835226,-0.10171097657299927,2.995817686515225,-2.991272563857433,0.481962481962482,4.657691634934795,-0.16407669849289414,0.43890231273731445,0.35058038747641673,1.0981087772279279,1.0518195515699111,WeakEvidence
6E,20,Stable Compression Basin,CompressionPressure,1238,0.15639506098250194,-0.1273674634022457,2.90837402140982,-2.760669884206169,0.47144006436041835,4.134645434564218,-0.16407669849289414,0.43890231273731445,0.3204717594753961,1.0741343817948346,1.330898953024154,WeakEvidence
6E,20,Stable Compression Basin,RotationalPressure,335,-0.3773640992585715,-0.7313432835818575,2.5655442181833217,-2.94789129275934,0.3611940298507463,3.9749421827030202,-0.16407669849289414,0.43890231273731445,-0.21328740076567737,0.8229485682088966,-1.737609444425737,WeakEvidence
6E,20,Unstable Rotational Balance,CompressionPressure,23,-2.330439586653067,-1.949367088607605,2.0431638830255148,-4.157155165960228,0.21739130434782608,3.402302775018863,-0.16407669849289414,0.43890231273731445,-2.166362888160173,0.4953068098274889,-3.2849503327300664,Unsupported
6E,20,Unstable Rotational Balance,RotationalPressure,415,-0.20165575932200006,-0.23333333333330744,2.507237373476076,-2.602953162800241,0.4433734939759036,3.374388736931014,-0.16407669849289414,0.43890231273731445,-0.03757906082910592,1.0101871899710522,-1.217417570874579,WeakEvidence
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,127,0.3235494063275356,0.21158690176322417,1.3504656844409995,-1.0689735082218093,0.5572519083969466,1.6773370131190732,0.19033451177486038,0.5678343949044586,0.1332148945526752,0.9813634281359574,2.1738127780087155,SignificantPositiveReturn
ES,5,Directional Continuation / Sponsor Release,RotationalPressure,81,-0.039152805537609435,0.1222707423580786,1.010607455371471,-1.2683627630639331,0.5432098765432098,1.9098808629619477,0.19033451177486038,0.5678343949044586,-0.22948731731246982,0.9566343310968474,-0.184501167937775,NotSignificant
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.3417611273309826,0.24322106633216067,1.4153264267470602,-1.1316603800112726,0.5710227272727273,2.2805113562376502,0.19033451177486038,0.5678343949044586,0.1514266155561222,1.0056148982817519,5.623306451314035,SignificantPositiveReturn
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,66,-0.5535607953409224,-0.24863387978142076,1.1089065117253956,-1.7665732189005336,0.4090909090909091,1.8954374046380176,0.19033451177486038,0.5678343949044586,-0.7438953071157828,0.7204405241421507,-2.3726181353423943,SignificantNegativeReturn
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,72,-0.0379029585402072,0.0,1.0706369892329233,-1.4041335101419752,0.4861111111111111,1.6526852545479351,0.19033451177486038,0.5678343949044586,-0.22823747031506758,0.8560790178849629,-0.19460285450282544,NotSignificant
ES,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.33937499284712086,0.33543622502999926,1.0411269002337864,-0.8640619154354081,0.7,1.0133257649104321,0.19033451177486038,0.5678343949044586,0.14904048107226048,1.2327537857543465,1.4977721482029884,Unsupported
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,297,0.3234269184286073,0.27184466019417475,1.264421455101836,-1.0015652931492145,0.6033333333333334,1.3070483878867578,0.19033451177486038,0.5678343949044586,0.13309240665374694,1.062516358197794,4.264447005272275,SignificantPositiveReturn
ES,5,Stable Compression Basin,CompressionPressure,542,0.07035588612569471,0.2600849989646298,1.3232488842467927,-1.3029048851890914,0.5774134790528234,2.846842691912919,0.19033451177486038,0.5678343949044586,-0.11997862564916567,1.0168695032113657,0.5753559525371997,NotSignificant
ES,5,Stable Compression Basin,RotationalPressure,181,-0.1801425826229277,0.1337579617834395,0.953852475277508,-1.3391810330644633,0.5414364640883977,2.275372145899339,0.19033451177486038,0.5678343949044586,-0.3704770943977881,0.9535112155005995,-1.0651315152317067,WeakEvidence
ES,5,Unstable Rotational Balance,CompressionPressure,10,-0.672120629130337,-0.9998041933942683,1.0396834204771583,-1.60735254278512,0.2,1.917254188137139,0.19033451177486038,0.5678343949044586,-0.8624551409051974,0.3522153673583847,-1.1085812531213266,Unsupported
ES,5,Unstable Rotational Balance,RotationalPressure,322,0.041861718988270964,0.2789046221882043,1.271543200525583,-1.3985634429600107,0.5838509316770186,2.5333083608381655,0.19033451177486038,0.5678343949044586,-0.14847279278658942,1.0282063519157814,0.2965220113976886,NotSignificant
